company_name,RAM,ROM,height_in,battery_power,front_camera,back_camera,price_eur
Mi,8,128,7.07,5000,20,82,285
SAMSUNG,4,64,5.6,3000,16,16,280
Redmi,6,128,6.39,4000,20,69,274
REDMI,6,128,7.07,5000,16,60,274
Redmi,6,128,6.39,4000,20,69,274
Xiaomi,6,128,7.07,5160,108,108,274
POCO,8,256,7.07,5000,16,118,274
REDMI,6,128,7.07,5000,16,60,274
SAMSUNG,8,128,6.6,5000,8,55,274
Redmi,6,128,7.07,5000,108,108,274
MOTOROLA,6,128,6.55,4020,32,112,274
Redmi,6,128,6.39,4000,20,69,274
Redmi,6,128,6.39,4000,20,69,274
SAMSUNG,8,128,6.6,5000,8,55,274
realme,8,128,6.7,5000,16,118,274
realme,8,128,6.7,5000,16,118,274
realme,8,128,6.7,5000,16,118,274
Tecno,8,128,6.9,6000,50,50,274
MOTOROLA,6,128,6.55,4020,32,112,274
realme,6,128,6.4,5000,48,48,274
REDMI,6,128,7.07,5000,16,60,274
SAMSUNG,8,128,6.6,5000,8,55,274
Xiaomi,8,128,6.55,4250,64,64,274
realme,8,128,7.02,5000,16,74,274
OnePlus,8,128,6.43,4500,64,64,274
realme,8,128,7.02,5000,16,74,274
POCO,8,256,7.07,5000,16,118,274
realme,8,128,7.02,5000,16,74,274
OnePlus,8,128,6.43,4500,64,64,274
MOTOROLA,8,128,6.55,4020,32,112,274
POCO,6,128,6.18,4000,20,17,274
POCO,8,256,7.07,5000,16,118,274
MOTOROLA,8,128,6.55,4020,32,112,274
OPPO,6,64,6,3200,16,16,274
vivo,8,128,6.38,4500,32,58,274
Redmi,8,128,7.07,5000,108,108,274
vivo,8,128,6.58,5000,8,50,274
Mi,8,128,7.07,4520,48,48,274
Mi,6,128,7.07,5000,20,82,274
vivo,6,64,6.3,3315,25,21,274
vivo,8,128,6.44,4050,44,60,274
SAMSUNG,8,128,6.7,5000,108,108,273
OPPO,8,128,6.43,4500,16,132,272
vivo,8,128,6.44,4050,44,60,271
SAMSUNG,6,128,6.7,5000,108,108,270
REDMI,8,256,6.6,5080,64,64,268
SAMSUNG,8,128,6.7,5000,108,108,266
SAMSUNG,8,128,6.7,5000,108,108,265
SAMSUNG,6,64,6.4,4000,25,38,264
vivo,8,128,6.38,4500,16,68,263
vivo,8,128,6.38,4500,16,68,263
vivo,8,128,6.38,4500,16,68,263
POCO,6,128,7.07,5160,20,60,263
Xiaomi,6,128,7.07,4500,16,118,263
realme,6,128,6.7,5000,16,118,263
realme,6,128,6.7,5000,16,118,263
vivo,6,128,6.44,4700,16,74,263
vivo,6,128,6.44,4700,16,74,263
OnePlus,6,128,6.43,4500,50,50,263
POCO,6,128,7.07,5160,20,58,263
realme,6,128,6.7,5000,16,118,263
Xiaomi,8,128,6.55,4250,20,77,263
REDMI,8,256,6.6,5080,64,64,263
